title, page_address, owner, category, total, meter, patron, rest
みんなで「自分たちのクラブ」を作ろう！「松山光」プロジェクト！,/project/consadole-sapporo/,コンサドーレ札幌,スポーツ,30000,1%,1人,35日
PFFスカラシップ最新作　鶴岡慧子監督　長野県が舞台の映画『過ぐる日のやまねこ』,/project/pffscholarship/,PFFスカラシップ,映画・映像,322100,16%,37人,63日
ショコラティエが探し求める幻のカカオを、絶滅の危機から守りたい！,/project/greenheart/,グリーンハート,社会貢献,35000,1%,6人,52日
ストーリーで数学を学ぶ！無料動画【tanQ-Cinema】を広めたい！,/project/tanqcinema/,寳槻 泰伸,教育,57000,19%,4人,17日
24歳現役高校生が挑む！誰もが3D-CG作品をWEBで発信できる世界を作ろう,/project/jthree/,松田光秀,スタートアップ,4000,0%,4人,35日
日本初上陸！！！思わず食べちゃう？てのひらサイズのワイヤレススピーカー「Bobby Cake」,/project/boddycake/,株式会社YYD　島田　賢一,プロダクト,28000,2%,7人,35日
田舎の小さな魚屋から生まれた大ヒット商品「土佐の赤かつお」新味開発プロジェクト,/project/akakatsuo/,池澤秀郎,フード,418280,209%,83人,4日
DJ HASEBE ☆ Makuake限定インストアルバム制作プロジェクト,/project/djhasebe/,DJ HASEBE,音楽,1339000,74%,146人,4日
新風を巻き起こす！FOOを通じた、ミュージックシーンの底上げプロジェクト！,/project/foo/,FOO,音楽,17000,,5人,終了
映画”歌舞伎町はいすくーる”プレミア試写会プロジェクト,/project/kabukichohighschool/,歌舞伎町はいすくーる実行委員会,映画・映像,50050,,14人,終了
ROGO舞台作品「銀河鉄道の夜」が岩手公演より待望のMakuake！,/project/rogo/,ROGO,演劇・パフォーマンス・ダンス,1000,0%,2人,3日
アンドロイドスマホにボタンを装着！？簡単操作で一発起動、Pressy,/project/pressy/,mediabridge,プロダクト,1005400,201%,342人,14日
劇場版「ゆうとくんがいく」公開記念！全国の小学校にサッカーボールを寄付しよう！,/project/yutokun/,劇場版「ゆうとくんがいく」事務局,映画・映像,free goal,,4人,61日
「日本一花を作る町を、日本一花を贈る町にする」　　東三河地区！花男子プロジェクト,/project/hanadanshi/,花男子プロジェクト　花贈る！男アガルッ！,地域活性化,382000,127%,9人,21時間
レゲエアーティスト「たなけん」のファン参加型PV制作プロジェクト,/project/tanaken/,たなけん,音楽,117000,,9人,終了
人気の踊り手達が集結！「ODOROOM」新曲ミュージックビデオ制作プロジェクト！,/project/odoroom/,ODOROOM,音楽,345500,,40人,終了
草野球バッグのイノベーション！機能性とデザイン性を追求したバッグパックをつくろう,/project/urbanstylebb/,クマカン＆ラリー　（熊本浩志＆大岩LARRY正志）,プロダクト,5691000,379%,165人,21時間
ニューヨークのリアルなストリートバスケを描いたドキュメンタリー映画『Doin' It In The Park(原題)』,/project/doinitinthepark/,GreenroomFilm,映画・映像,30000,,3人,終了
北海道発！牛乳パックで紙相撲  東日本大震災被災地交流プロジェクト,/project/kamizumou/,山田大輔,地域活性化,151000,,22人,終了
監督×女優による映像ユニット空組曲が製作する自主映画「ひととき」応援プロジェクト,/project/hitotoki/,奥本はじめ,映画・映像,99000,33%,13人,21時間
町工場×先端技術でものづくりを変える！墨田発の新施設 Garage Sumida,/project/garagesumida/,Hamano Keiichi,テクノロジー,668200,111%,52人,21時間
〜東北からシリアへ〜シリア難民支援プロジェクト「こごさいるでば」,/project/kogosairudeba/,佐藤麻衣子・内海貴啓,社会貢献,1201000,,186人,終了
きのこのホクト応援★大塚晶文監督率いる『信濃グランセローズ』強化プロジェクト！,/project/grandserows/,信濃グランセローズ,スポーツ,845000,,62人,終了
東京上野で東北物産イベントを開催！東北現地生産者の皆さんが大勢来て、活躍してほしい！,/project/tohokuueno/,中島　丈敬,地域活性化,1472000,,89人,終了
「リヴァー・フェニックス」フェス！を盛り上げよう,/project/riverphoenix/,「リヴァー・フェニックス」フェス！実行委員会,映画・映像,580000,,66人,終了
世界一のメンズフェイシャルエステを造り、「日本の男はカッコいい！」未来を創る,/project/bulkhomme/,BULK HOMME,スタートアップ,31396500,104%,243人,終了
雑貨でロシアと日本を繋げる！RussianJP設立プロジェクト,/project/russianjp/,東谷　拓磨,プロダクト,3000,,1人,終了
セーリング須長由季選手がオリンピックを目指すライジングサンプロジェクト！,/project/sunagayuki/,TimeLimits,スポーツ,5000,,3人,終了
ヴァイオリニスト竜馬の音楽、文房具などを、ミャンマーの子どもたちへ届けたい☆,/project/myanmarchildren/,YukiHemmi,社会貢献,27000,,6人,終了
千葉真一公認、ゆるキャラ ”じゅうべ～” をつくろう！,/project/jyubee/,株式会社アストライア,地域活性化,68000,,10人,終了
25歳の新人監督のデビュー作品を応援しよう![たゆたう]映画化プロジェクト,/project/tayutau/,山本文月,映画・映像,190000,,29人,終了
映像パフォーマンスユニット”enra”の単独公演プロジェクト,/project/enra/,enra,演劇・パフォーマンス・ダンス,2034500,,378人,終了
鉄道アイドル「ステーション♪」と岩手県三陸鉄道の復興を支援しよう！,/project/station/,ステーション♪,社会貢献,573500,,64人,終了
通も唸るお弁当が満載の”日本一のお弁当本”をグルメのプロが作ります！,/project/japanbento/,大木淳夫,フード,16000,,4人,終了
【台湾感謝の旅】東日本大震災で多額の義援金を支援してくれた台湾に改めて感謝を伝えたい！,/project/taiwanfreehugs/,萩原駿介,社会貢献,58000,,8人,終了
スカパー！番組「グラ☆スタ！映像制作部」ドラマ企画“それでも犬は嫌い”支援計画,/project/grasta/,マンモス☆南,映画・映像,133000,,12人,終了
世界一のダンスユニットになる！世界中の絶景からダンスを配信する旅を支援して下さい,/project/numbers/,NUMBERS(ナンバーズ),演劇・パフォーマンス・ダンス,1647707,,217人,終了
世界に挑戦する日本人アスリートを応援！〜カイトボード大島彩の挑戦〜,/project/oshimaaya/,AyaKite,スポーツ,free goal,,2人,なし
河崎実監督の新作ＤＶＤ「電エースタロウ」製作支援,/project/denacetaro/,河崎実　,映画・映像,554000,110%,33人,終了
自閉症をもっと世の中に知って貰うためのドキュメンタリー映画を応援しよう!,/project/autisticchild/,床波ヒロコ,映画・映像,304000,,54人,終了
“日本のサムライ”をリオ・東京五輪へ！\r\n７人制ラグビーチーム「サムライセブン」が世界へ挑戦,/project/samuraiseven/,サムライセブン,スポーツ,1021289,,107人,終了
みんなで1/12サイズのミニチュアチェアを49種類復活させよう!プロジェクト第1弾,/project/miniaturechair/,レアック・ジャパン株式会社,プロダクト,free goal,,7人,終了
CDショップ大賞2014サポーター二次募集！授賞式＆ライブ前列優先ご招待,/project/cdshopsecond/,CDショップ大賞事務局,音楽,1400000,,117人,終了
自分のまちは自分たちで作りたい！〜住民の手でつくる集会所プロジェクト〜,/project/kumiki/,阿部貞男,地域活性化,1035507,,40人,終了
Japan Dayに参加して震災復興のためのファンドレイジングをしたい！,/project/japanday/,義澤真衣,社会貢献,30000,,3人,終了
女子大生が始めた美容師向けサービス【Coupe簡単サロモハント】の支援を大募集,/project/coupe/,Coupe竹村恵美・渡部愛子,スタートアップ,278005,,34人,終了
ゆとり世代があなたの夢を叶える！野音 ROCK FESTIVAL～人類みな兄弟～,/project/yaon/,ヤマノタケシ,音楽,75000,,7人,終了
和歌山を舞台にした映画「ねこにみかん」を多くの人に届けよう！,/project/nekonimikan/,戸田彬弘,映画・映像,1675500,335%,128人,終了
日本発の月面探査！サポーターズクラブで一緒に月面を目指しませんか？,/project/hakuto/,ハクト／Hakuto,テクノロジー,free goal,,110人,終了
オトメライブ第三弾!『十鬼の絆 〜関ヶ原奇譚〜 恋舞』を盛り上げよう！,/project/tokinokizuna/,十鬼の絆～関ヶ原奇譚～恋舞 製作委員会,演劇・パフォーマンス・ダンス,free goal,,51人,終了
世界に挑戦する日本人アスリートを応援！〜フィンスイミング長谷川雄太の挑戦〜,/project/hasegawayuuta/,長谷川雄太,スポーツ,free goal,,4人,なし
起業を目指すあなたを応援します！週末起業ドリームサミット,/project/dreamsummit/,新井一,スタートアップ,300000,100%,12人,終了
「月野さんのギター」映画化プロジェクト,/project/tsukinosan/,寒竹泉美,映画・映像,1808034,180%,115人,終了
秘境の森づくりプロジェクト～九州のマチュピチュ　宮崎県諸塚村～,/project/moretrees/,一般社団法人more trees,地域活性化,477000,159%,39人,終了
純粋で自由な音楽賞を皆様の手で！｢第６回CDショップ大賞2014｣サポーター募集,/project/cdshop/,CDショップ大賞事務局,音楽,free goal,,42人,終了
【１着オーナー募集】衣装不足のサンタさんを助ける衣装製作プロジェクトinネパール,/project/charitysanta/,KiyosukeSanta,社会貢献,1640927,,167人,終了
コロンビアのスラム街と世界を繋ぎ、教育と情報発信の改革で貧困を救う,/project/columbia/,田中優樹,教育,270000,108%,33人,終了
PlayStation®Vitaゲーム開発プロジェクト「Airship Q」,/project/airshipq/,株式会社ミラクルポジティブ,ゲーム,1267000,,124人,終了
日本酒4000本を海底へ　\r\n「海中熟成酒」プロジェクト始動！,/project/kaiteijyukusei/,上野伸弘,プロダクト,505101,101%,16人,終了
世界で話題の組み立て式ロボット「RAPIRO (ラピロ)」のさらなる世界展開プロジェクト!,/project/rapiro/,Shota　Ishiwatari,プロダクト,5669000,188%,142人,終了
植樹の神様・宮脇昭氏がいよいよ福島へ　\r\n１０月６日南相馬市植樹祭撮影プロジェクト,/project/powerofforest/,『パワー・オブ・フォレスト』　製作委員会,社会貢献,820000,102%,17人,終了
北海道「十勝」が舞台の映画を制作、知られざる魅力を世界に発信して地域貢献したい！,/project/tokachimovie/,ワイガヤ十勝,映画・映像,2166111,108%,123人,終了
ラバーガール飛永がメインMCを務めるドキュメントバラエティ番組にもっと予算を！,/project/rubbergirl/,ラバーガール飛永,お笑い・エンターテイメント,628000,104%,31人,終了
川島永嗣が世界に挑戦する日本人アスリートを応援!グローバルアスリートプロジェクト!!,/project/globalathlete/,川島永嗣,スポーツ,1768111,176%,100人,終了
世界に挑戦する日本人アスリートを応援！〜パラリンピックサッカー谷口泰成の挑戦〜,/project/taniguchitaisei/,谷口泰成,スポーツ,free goal,,9人,なし
