"title, page_address, owner, category, status, patron, total, rest"
"和歌山での新しい「エンターティメント」を提案する、Kisssh- Kissssssh...,/projects/kisssh-kissssssh,Kisssh-...,映画,FUNDED!,12,80000,終了13年09月13日"
"ひた演劇祭実行委員会の活動－第3回ひた演劇祭－,/projects/hitageki,けちゃ,演劇・ダンス,FUNDED!,1,1000,終了13年08月31日"
"「イメージあふれる夏」WEB上映プロジェクト,/projects/summerimage,Kazuya ...,映画,FUNDED!,1,3000,終了13年10月19日"
"NoddiN Exhibition 映像作家達による自主制作の発表展示にご支援をお願...,/projects/noddin-exhibition,NOddIN,パフォーマンス,FUNDED!,47,380001,終了13年08月27日"
"RAINBOW JAPAN 3　〜日本列島に未来へ号でメッセージを描くプロジェクト ...,/projects/rainbowjapan3,遠藤 一郎,アート,FUNDED!,33,640001,終了13年09月01日"
"親父が野音で「俺に任せろ！」と叫ぶ記念日～中年ドリーム日本元気化プロジェクト～,/projects/40s-yaon,Kawaber...,音楽,NOT FUNDED!"
"ヨコハマこども映画教室　〜小学生と一流の映画監督が3日間で映画を作って上映する！\r\n〜,/projects/kodomoeigakyositu,Etsuko ...,映画,FUNDED!,69,711000,終了13年08月01日"
"坂上香監督最新作『トークバック 女たちのシアター』の制作費&宣伝費をサポートして下さい！,/projects/talkback2013,坂上香,映画,FUNDED!,103,3302500,終了13年07月13日"
"レジェンドオブやなな,/projects/yananalegend,ありがとう、や...,パフォーマンス,FUNDED!,211,5027377,終了13年07月18日"
"情報社会の「イマ」を切り取るインターネットヒーロードラマ『現実拡張 スマホ仮面』スペ...,/projects/smapho-kamen,TTM（Mas...,映画,FUNDED!,148,1233000,終了13年07月01日"
"自主制作映画『TRAIL（トレイル）』の配給・宣伝費を募集します！,/projects/trail-film,河野 竜也,映画,FUNDED!,6,70000,終了13年09月07日"
"「ハーブ&ドロシー ふたりからの贈りもの」を、世界に先駆けて日本で劇場公開！実現のた...,/projects/herbanddorothy5050,Sasaki ...,映画,FUNDED!,915,14633703,終了13年03月01日"
"ネパール発のナチュラルコスメブランド　Lalitpur　by　Coffret　Pro...,/projects/lalitpur,向田麻衣,プロダクト,FUNDED!,141,1068524,終了13年05月24日"
"世界で最もエキサイティングなクラシック音楽祭　ラ・フォル・ジュルネ２０１３を成功させ...,/projects/lfj2013,株式会社東京国...,音楽,FUNDED!,225,2354000,終了13年04月23日"
"『パワー・トゥ・ザ・ピープル ～グローバルからローカルへ～』の日本全国上映運動を、エ...,/projects/p2p,kenji,映画,FUNDED!,21,216000,終了13年07月22日"
"地球への感謝の心、地球に暮らす全てのいのちを愛しむ心を広げよう！「地球愛祭り2013...,/projects/ThankEarthTokyo2013,地球愛祭り東京...,コミュニティ,FUNDED!,12,56000,終了13年08月12日"
"傘を大切にしませんか？　100%made in JAPAN の大切にしたい傘　ka-...,/projects/ka-rai-do2013,ユニファイド・...,アート,FUNDED!,2,20000,終了13年10月14日"
"LANDMARK FESTIVAL ISHINOMAKI 2013 映像化計画,/projects/LMF-ISHINOMAKI2013,Kouta W...,音楽,NOT FUNDED!"
"ニコラス・ケイジのアカデミー受賞作「リービング・ラスベガス」マイク・フィギス監督来日...,/projects/figgisinjapan,わたなべりんたろう,映画,FUNDED!,13,88000,終了13年06月24日"
"N家の蔵再生プロジェクト 蔵から見える、未来の暮らし,/projects/nke,一般財団法人 ...,コミュニティ,FUNDED!,13,110500,終了13年07月01日"
"「美食の旅　宮城県編」100年後に残す、郷土の味。宮城県編。そこでしか食べられないご...,/projects/bisyokumiyagi,美食の旅DVD...,映画,NOT FUNDED!"
"～日本劇場公開を目指して〜「日米映画制作プロジェクト」将来はハリウッドへ！,/projects/shofilm,杉山 知之,映画,FUNDED!,51,710000,終了13年06月13日"
"オール旭川でつくる長編映画のプロモーション用に製作！短編映画「ソラノイロ（仮）」プロ...,/projects/soranoiro,鈴木 聖史,映画,FUNDED!,32,171000,終了13年06月02日"
"低学歴の子どもたちに職業選択の幅を拡げるための学習支援事業,/projects/gakushushien,一般財団法人 ...,コミュニティ,FUNDED!,45,387000,終了13年07月01日"
"すべてのお父さんへ届けたい！３人の監督が描くオムニバス劇場公開映画「Father」,/projects/fathereiga,Akiko M...,映画,FUNDED!,29,239000,終了13年05月31日"
"広域避難親子への心豊かな時間のプレゼント事業,/projects/hinanshien,一般財団法人 ...,演劇・ダンス,FUNDED!,15,260000,終了13年07月01日"
"前代未聞！世界初！バングラデシュ・ダッカで開催する、貧困からの脱却イベント「リキシャ...,/projects/rickshaw2013,Cecilia...,映画,FUNDED!,29,823000,終了13年06月01日"
"シアトル・バンクーバーで能楽を普及する謡サロン「challenge2013」開催プロ...,/projects/challenge2013,まきのじゅんこ,パフォーマンス,FUNDED!,21,123000,終了13年06月01日"
"映画を通して、モンゴルと日本の友好を盛り上げたい！,/projects/mongol,モンゴル野球青...,映画,FUNDED!,10,61000,終了13年05月31日"
"全員しろうとの小さなラジオ局が起こす奇跡の物語「ガレキとラジオ」上映キャラバン！,/projects/garekitorajio,ガレキとラジオ...,映画,FUNDED!,15,84000,終了13年05月11日"
"目指すは便利でファッショナブルなエコ！！　一枚で何通りにも使える不思議な風呂敷「晩美...,/projects/furoshiki,伊東かしん,プロダクト,FUNDED!,2,23500,終了13年08月03日"
"都会のビジネスパーソンに新しい働き方を提供し、村の可能性を広げたい！,/projects/harasanso,Harasanso,コミュニティ,FUNDED!,5,23000,終了13年04月22日"
"ART MIX JAPAN 世界開催へ！！日本の文化を守るグローバル社会に向けた挑戦,/projects/amj2013,新潟総踊り祭実...,アート,FUNDED!,4,24000,終了13年04月27日"
"地球の未来を考え行動する！アースデイ東京2013 ニコルズフォレストキッチン,/projects/forest_kitchen,forest ...,フード,FUNDED!,26,113000,終了13年05月01日"
"世界に羽ばたくアーティストの卵を育てる復興支援バレエセミナーの開催をサポート下さい。,/projects/projectLUCT,Naoki K...,演劇・ダンス,FUNDED!,7,14500,終了13年07月21日"
"福島の子どもたちに健やかで楽しい休日を!福島の子ども保養ツアー「キッズウィークエンド」,/projects/kidsweekend2013,アースデイ東京...,コミュニティ,FUNDED!,103,728000,終了13年04月18日"
"子どもの目線で震災の記憶を伝える「石巻日日こども新聞」,/projects/02hibi,一般財団法人 ...,本,FUNDED!,2,20000,終了13年06月01日"
"ひとりでがんばろうとする若者への伴走,/projects/03switch,一般財団法人 ...,コミュニティ,FUNDED!,6,140000,終了13年06月01日"
"NEVER LAND PROJECT　アーティストによる福島の子どものためのアートワ...,/projects/neverlandproject_2013,NEVER L...,アート,FUNDED!,13,33000,終了13年04月27日"
"対立を対話に変える特撮ヒーロー映画『神聖戦士ニキ』パイロット版,/projects/nikki,久保田英嗣,映画,NOT FUNDED!"
"PRAY FOR CONGO　世界最悪の紛争地域で医療普及活動を行っている石田勝子さ...,/projects/prayforcongo,英治出版みらい基金,コミュニティ,FUNDED!,72,450000,終了13年04月01日"
"里山保全で地域のスモールビジネスを「ヤギレンタルプロジェクト」,/projects/yagi_rental,ななしんぼ,コミュニティ,NOT FUNDED!"
"３１１が問い直した大切な人、大切な想い　篠崎誠最新作『あれから』（Since The...,/projects/arekara311,篠崎誠,映画,FUNDED!,55,715000,終了13年03月31日"
"ご当地キャラ約40体が見送る「やななの卒業式in関東」、埼玉県志木市民会館で開催！,/projects/39-yanana,関東キャラ連盟,パフォーマンス,FUNDED!,243,1352400,終了13年03月23日"
"新「greenz.jp」をさらにバージョンアップ計画,/projects/greenzjp_renewal,グリーンズ,コミュニティ,FUNDED!,15,138000,終了13年03月23日"
"京都・下鴨神社への奉納。方丈記800年を記念し、隈研吾氏が造る方丈庵PJTへの出資,/projects/hojoan800,方丈庵800年...,本,FUNDED!,5,26000,終了13年04月29日"
"身体の映画作家・岩名雅記監督最新作「うらぎりひめ」の配給宣伝費をサポートして下さい！,/projects/urahime,岩名雅記,映画,FUNDED!,46,614000,終了13年04月01日"
"被災閉校となる浜市小学校へ贈る光の卒業アルバム　「浜市小学校感謝祭」,/projects/hamaitisyou,浜市小学校感謝...,コミュニティ,FUNDED!,151,819000,終了13年03月22日"
"海南友子監督による原発と出産のドキュメンタリー製作にご支援を！,/projects/kanatomoko,ホライズン・フ...,映画,FUNDED!,74,1088001,終了13年03月12日"
"「女子アマチュアボクシング大会チャレンジマッチ」トレーナー梅津正彦を支えたい。,/projects/Amateur_womans_boxing,日本アマチュア...,スポーツ,FUNDED!,187,1871000,終了13年03月25日"
"I-Play Fes　　いわきの演劇を元気にしたい！芸術・文化による心の復興に力を貸...,/projects/iplayfes,Michiko...,演劇・ダンス,FUNDED!,39,615000,終了13年03月03日"
"第24回東京国際映画祭　日本映画ある視点作品賞受賞作品「ももいろそらを」,/projects/momoiro,Hiroshi...,映画,FUNDED!,26,528500,終了13年04月01日"
"新たな映画鑑賞体験の実現を目指し旅する映画館「Cinema Voyage」の始動にご...,/projects/cinemavoyage,小西 康高,パフォーマンス,NOT FUNDED!"
"旧牧郷小学校100％自家発電プロジェクト,/projects/makisato_jikahatuden,藤野電力,アート,FUNDED!,53,205000,終了13年04月01日"
"アート×学校×支援！インドの片隅から発信する芸術祭『ウォールアートフェスティバルイン...,/projects/wall_art_festival,おおくにあきこ,アート,FUNDED!,60,213500,終了13年03月12日"
"短編ファンタジー映画『白黒ギツネと光の洞窟』制作プロジェクト　長編映画への道！,/projects/sirokitsune,藏原 潔司,映画,FUNDED!,39,747744,終了13年02月14日"
"カンヌ映画祭・ベネツィア映画祭を制覇した巨匠キアロスタミが、新作『Like some...,/projects/kiaro,ユーロスペース,映画,FUNDED!,244,5620002,終了12年08月05日"
"ソノダバンドの新作アルバム「火の玉」をアナログレコードで制作！アナログならではの音を...,/projects/sonodaband,sonodaband,音楽,FUNDED!,87,1285005,終了13年01月15日"
"数々の映画祭で賞賛されたインディペンデント映画「seesaw」が自主配給を目指す！\r...,/projects/seesaw,Vesuvius,映画,FUNDED!,94,662499,終了12年07月09日"
"有名シェフが東北6県のご当地グルメを仕掛け、東の食の産業復興を期す「東北６県ROLL...,/projects/touhoku6roll,東北6県ROL...,フード,FUNDED!,19,84000,終了13年01月14日"
"震災後の動物たちの気持ちとかぞくのこころをつたえます。「ぼくらは生きてるプロジェクト」,/projects/bokuiki,ぼくらは生きて...,本,FUNDED!,18,34000,終了13年05月28日"
"映画の本場、米国ロサンゼルスで開催する、日本映画に特化した映画祭LA EigaFes...,/projects/LAEF2012,Koto Pr...,パフォーマンス,FUNDED!,30,309000,終了12年12月11日"
"長編映画「さようなら」製作プロジェクト！平田オリザ×石黒浩研究室によるアンドロイド演...,/projects/sayonara,k.fukada,映画,FUNDED!,52,979000,終了13年02月01日"
"3.11後の東京近郊を描いた野心作、内田伸輝監督「おだやかな日常」,/projects/odayakafilm,kiki su...,映画,FUNDED!,38,561000,終了12年12月15日"
"巨大だるまが東北を目指す！GET UP JAPAN　起き上がれニッポン,/projects/get-up-japan,Yusuke ...,アート,NOT FUNDED!"
"アニメ「ネコリーマン」新エピソード制作プロジェクト！「ムトゥー刑事編」３部作！,/projects/necoryman,井上ジェット,アニメ,FUNDED!,2,2000,終了13年01月15日"
"真剣勝負！成り上がり養成塾 in パキスタン,/projects/4uworld,Jun Yvo...,コミュニティ,FUNDED!,1,10000,終了13年02月21日"
"「えがく、こども」　石巻DRAWINGPROJECT　vol.2,/projects/drawing_pj2,金箱 淳一,アート,FUNDED!,26,92000,終了13年02月18日"
"都内近郊＆静岡県富士市を舞台に！自主映画『tig☆hug ちぐはぐ』制作プロジェクト,/projects/tighug,渡辺喜子,映画,FUNDED!,72,604000,終了12年12月01日"
"「アートによるまちづくり」を一緒に支える！「黄金町バザール2012」,/projects/koganechobazaar2012,黄金町バザール...,アート,FUNDED!,36,361000,終了12年12月04日"
"鈴木宗男さん主演の選挙ドキュメンタリー、配給宣伝への出資をお願いします！,/projects/muneoism,johnfante,映画,FUNDED!,46,437515,終了13年03月11日"
"地雷原を綿畑にするプロジェクト\r\nカンボジアの地雷被害者が暮らせる小屋と作業所をつくりたい,/projects/naturesavescambodia,石井 麻木,コミュニティ,FUNDED!,105,403000,終了13年04月01日"
"「大人が本気になる時がきた」中山間地域・倭文西の挑戦,/projects/kodomomachi,一般財団法人 ...,コミュニティ,FUNDED!,12,120000,終了13年02月28日"
"渋谷真夜中の映画祭　第零夜　＠渋谷ヒカリエ8COURT,/projects/shibumayo,Daizo A...,映画,FUNDED!,80,232500,終了12年11月09日"
"第60回日本福祉大学学園祭で、震災関連の映画を一気に上映するミニ映画祭を開催したい！,/projects/nfu10filmfestival,Masaki ...,パフォーマンス,FUNDED!,3,2000,終了12年12月01日"
"長編映画『千里眼』制作プロジェクト、ベネチア入選作『自転車』のタッグが再び！,/projects/senrigan-movie,大川 祥吾,映画,FUNDED!,73,576000,終了12年10月07日"
"無差別級紙芝居のフェス開催！ 伝説の現場をDVD化したい！,/projects/musa_kami,aoaoblue,パフォーマンス,FUNDED!,52,194500,終了12年10月30日"
"東北フォトプロジェクト,/projects/tohokuphoto,Kensuke...,写真,FUNDED!,8,55500,終了12年12月31日"
"OCICA出版プロジェクト　石巻市牡鹿半島、小さな漁村の物語,/projects/ocica,一般社団法人つむぎや,本,FUNDED!,139,410500,終了12年09月13日"
"東日本大震災チャリティーフットサル大会　“DREAM TICKET CUP  3.11”,/projects/globe,Tetsuro...,コミュニティ,FUNDED!,34,584500,終了12年03月10日"
"福島の養護施設の子供たちを東京に招待　最高の夏休みの思い出を！　「おいでよ！東京」プ...,/projects/bluefortohoku,BLUE FO...,コミュニティ,FUNDED!,86,624000,終了12年08月29日"
"hARTsuden 発電するアート　ベップアートマンス2012 への参加そして巡回展実現へ,/projects/hartsuden,artist ...,アート,FUNDED!,8,113500,終了12年11月21日"
"「子ども新聞プロジェクト」 【第一弾】被災地に学ぼう！プロジェクト,/projects/kodomoshinbun,朝日新聞名古屋...,本,FUNDED!,10,2415500,終了12年10月21日"
"奇才・中島らもの世界がスクリーンに蘇る！　劇場公開映画『らもトリップ』,/projects/RAMONs_WORLD,佐藤 宙信,映画,FUNDED!,43,369500,終了12年02月22日"
"若手女性映画監督「池田千尋」特集上映を渋谷で！\r\n 〜オーディトリウム渋谷のスクリー...,/projects/ikedachihiro_retrospective,QULT,映画,FUNDED!,23,259000,終了12年07月07日"
"イ-ッカさんとの対話！ 日本の若手ドキュメンタリストの育成事業にサポートをお願いします,/projects/Iikka,Asako F...,映画,FUNDED!,37,103000,終了12年09月13日"
"耕作放棄地の棚田再生の拠点にしたい「雲の上の楽園・上山集楽に農山村シェアハウスをつく...,/projects/tanadadesegway,東 大史,コミュニティ,FUNDED!,39,612500,終了12年09月08日"
"「未来都市」を創りたい！！　映像と先端アートの祭典,/projects/zushi-maf,石多 未知行,アート,FUNDED!,36,183000,終了12年10月15日"
"柴田啓佑 初監督作品「ヤギ、おまえのせいだ」制作プロジェクト　映画学校生が世界を目指す,/projects/yagi,柴田 啓佑,映画,FUNDED!,30,311927,終了12年04月03日"
"短篇映画「おごりの春」制作プロジェクト　YOUR FILM FESTIVAL に向け...,/projects/ogorinoharu,野村美奈子,映画,FUNDED!,29,184000,終了12年03月30日"
"日本の歴史ある種を守り、後生に受け継ぎたい。「安曇野シードバンクプロジェクト」,/projects/azumino_seedbank,臼井 健二,テクノロジー,FUNDED!,50,180500,終了12年08月08日"
"映画『惑星のささやき』　 伊参スタジオ映画祭シナリオ大賞受賞作品の映画化プロジェクト,/projects/wakuseinosasayaki,澤田サンダー,映画,FUNDED!,10,100000,終了11年11月15日"
"ドキュメンタリー映画「超自然の大地」　放射能汚染と戦い、生きる、福島の農家さん達,/projects/uncanny_terrain,Junko&Ed,映画,FUNDED!,19,81500,終了12年12月23日"
"登録数3000を越えるメルマガが一新、日本初のドキュメンタリーカルチャー誌「neon...,/projects/neoneo,neoneo編集室,本,FUNDED!,36,170500,終了12年12月30日"
"日本発の旅行体験予約サイト『FindJPN』立ち上げ＆掲載案件数100件以上を実現し...,/projects/FindJPN,高橋 理志,テクノロジー,FUNDED!,21,311500,終了12年02月29日"
"長崎が舞台の心温まる介護喜劇「ペコロスの母に会いに行く」を日本が世界に誇る名匠森崎東...,/projects/pecoross,srouninn,映画,FUNDED!,116,1240500,終了13年05月31日"
"「えがく、こども」石巻DRAWING PROJECT vol.1,/projects/drawing_pj1,金箱 淳一,アート,FUNDED!,56,164500,終了12年09月21日"
"カンボジア小学校体育科教育　指導書作成・配布プロジェクト,/projects/taiiku,一般財団法人 ...,スポーツ,FUNDED!,13,74000,終了13年02月28日"
"ビジュアルアートに特化した最新フリーアートマガジン「a・priori」創刊に向けて！,/projects/a-priori,egofactory,アート,FUNDED!,3,16000,終了12年11月05日"
"「命の授業ー子どもたちに命の大切さを語り継ぐー」書籍化プロジェクト,/projects/inochijyugyo,一般財団法人 ...,コミュニティ,FUNDED!,24,153000,終了13年02月28日"
"福島の子どもたちに、夏休みの思い出として、自然いっぱいの公園とプロ野球観戦を,/projects/bunbugakuin_fukushima,BunBu学院,コミュニティ,FUNDED!,6,38500,終了12年08月22日"
"若者が多様な働き方に出会えるイベント「だっぴ50x50」開催プロジェクト,/projects/hatarakihyakka,一般財団法人 ...,コミュニティ,FUNDED!,19,140000,終了13年02月28日"
"短編映画「The Waitress」　あなたの心に響くショートフィルム,/projects/waitress,shun,映画,NOT FUNDED!"
"「ふぁみりえんのたくじ」で「母子避難者支援」,/projects/takuji,一般財団法人 ...,コミュニティ,FUNDED!,14,311000,終了13年02月28日"
"ワールドカップを転戦するジュニア・スノーボーダーを、みんなの手で2014年ソチ五輪代表に！,/projects/bark,キララキャンプ,コミュニティ,FUNDED!,5,38500,終了12年06月03日"
"フードバンク岡山 設立事業,/projects/foodbankokayama,一般財団法人 ...,フード,FUNDED!,19,156000,終了13年02月28日"
"全国どこからでも大学生が東北の中高生を支援する仕組みを作りたい！,/projects/sankousho311,wakame,プロダクト,FUNDED!,13,35000,終了12年08月31日"
"Student Freepaper Forum 2010優勝のEdukenが、理想の...,/projects/Eduken,岩本 雄,ジャーナリズム,NOT FUNDED!"
"映画「女優」を第15回上海国際映画祭に！,/projects/jyoyu,2012「女優...,映画,FUNDED!,1,10000,終了12年10月01日"
"「追悼」と「復興」の意味を込めて東北被災地で開催される花火大会『LIGHT UP N...,/projects/LIGHTUPNIPPON,LIGHT U...,コミュニティ,NOT FUNDED!"
"2012 Road to London !  被災地のサッカーキッズをロンドンオリン...,/projects/2012road_to_london,ジェイソン,コミュニティ,FUNDED!,37,545100,終了12年09月11日"
"群馬県桐生市を舞台に、「今」を描いたハートフルコメディ短編映画「京太の放課後」,/projects/keitanohoukago,Koto Pr...,映画,FUNDED!,20,604000,終了12年06月01日"
"捨てられる命０を目指して　ドラマ×ドキュメンタリー映画「ノー・ヴォイス」,/projects/novoice,cosmobox,映画,FUNDED!,64,828406,終了13年02月13日"
"ソーシャル・ムービー「２/３６５」みんなでつくる映画 in おおむた　地域活性を目指す！,/projects/two-oneyear,岩倉 宗一郎,映画,FUNDED!,6,60000,終了13年05月13日"
"テーブルの中を生きた魚が泳ぎ、影のアートが浮かび上がる「魚影テーブル」FISHADO...,/projects/fishadow,MADEINA...,プロダクト,FUNDED!,13,45000,終了12年12月15日"
"3.11以降の家族を描く。山田洋次監督作品「東京家族」の被災地特別上映,/projects/tokyo-kazoku,「東京家族」製...,映画,FUNDED!,22,184800,終了13年01月11日"
"家族と孤独をテーマに齋藤監督が日本の今を描く　日米共同制作映画『小春日和』,/projects/koharubiyori,齋藤 俊道,映画,FUNDED!,18,971500,終了13年03月31日"
"舞台「学校に原発ができる日」の公演＋DVD化プロジェクト,/projects/gakko-genpatsu,越坂康史,演劇・ダンス,FUNDED!,83,589500,終了13年01月18日"
"ＶＡＮＴＡＮデザイン研究所の学生が企画する、教育をテーマにした上映会へご支援のお願い...,/projects/smile,Kunihir...,映画,FUNDED!,17,60000,終了13年02月08日"
"映像作家・坂口香津美が描く大震災・大津波の後の世界を生き抜く幼い姉妹の希望と再生の物語！,/projects/shironagasukujira,SUPERSA...,映画,NOT FUNDED!"
"ダンスを通じて子どもの元気を取り戻すサポートをしたい,/projects/01dance,一般財団法人 ...,演劇・ダンス,FUNDED!,6,55000,終了13年06月01日"
"「言葉」と「仕事」外国人妻たちが安心して生活できる環境をつくる,/projects/04egao,一般財団法人 ...,コミュニティ,FUNDED!,6,35000,終了13年06月01日"
"ひとりで悩みを抱える人に寄り添い、自立の背中を押したい,/projects/05ichigo,一般財団法人 ...,コミュニティ,FUNDED!,7,45000,終了13年06月01日"
"NT金沢2013ワークショップ - 缶バッジ作っちゃう？,/projects/ntk2013ws,kinneko,アート,FUNDED!,16,53000,終了13年08月01日"
"2013福島のこども保養inあきる野,/projects/fukushimaPJ,miki,コミュニティ,FUNDED!,7,34500,終了13年08月18日"
"クラウドファンディング発の着ぐるみキャラクターを！トラウマ仮面着ぐるみ製作プロジェクト,/projects/kigurumi_pj,岩谷 裕文,パフォーマンス,NOT FUNDED!"
"海を汚す川ゴミをみんなで楽しく探して意識を変えるプロジェクト　ごみポイ捨て0作戦,/projects/gomizero,一般財団法人 ...,コミュニティ,FUNDED!,12,158000,終了14年03月01日"
"歌って・踊って・社会貢献する　ウッディボーイズ発掘・育成プロジェクト,/projects/woody,一般財団法人 ...,パフォーマンス,FUNDED!,11,43000,終了14年03月01日"
"外国人技能実習生受入支援事業　　多言語Webサイトの構築とフリーコール電話相談,/projects/tagengoweb,一般財団法人 ...,テクノロジー,FUNDED!,11,250000,終了14年03月01日"
"農業タスクを手伝いたい人と農家がつながるWIN-WIN-WINな縁組み,/projects/taskn,一般財団法人 ...,フード,FUNDED!,16,115000,終了14年03月01日"
